CONTAINER,CONTAINER PHONE NO,PHONE TYPE,SPECS,CAMERA SPECS,ANDROID VERSION,REGION ,LATITUDE,LONGTUDE ,EMPLOYEE 1,EMPLOYEE 2
Zimmerman,114639150,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.211697,36.903447,SO144,_
Nairobi West,114626067,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.298677,36.840343,SO194,_
Kikuyu,114432147,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,CENTRAL,-1.235024,36.670239,SOO55,_
Kayole oto,114635819,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.279264,36.907041,SOO23,SO023
komarock,114972343,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.26796,36.914,SO103,SO215
Cent oto,114977986,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.201951,36.892344,SO208,_
Kibera,111989751,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.309578,36.778269,SO152,SO135
Mtindwa,114972458,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.286445,36.880135,SOOO06,_
Mwingi,704185781,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,EASTERN,-0.934002,38.055084,SO059,_
Umoja oto,114969956,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.278837,36.895648,SOO05,SO117
Imara daima,111979267,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.324423,36.883002,SO028,SO260
Rongai,111079231,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.395112,36.736882,SOO07,_
Mwea,704157259,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,EASTERN,-0.667645,37.3626,SO189,SO203
Voi,115521567,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,SOUTHERN KENYA,-3.38768,38.560488,SO240,SO244
Kawangware,114629404,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.290343,36.740207,SO046,_
